127.0.0.1 - - [29/May/2019:14:04:17 +0200] "GET / HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/May/2019:14:05:01 +0200] "GET /test/test.html HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [29/May/2019:14:16:18 +0200] "GET /test/test.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [29/May/2019:14:16:18 +0200] "GET /favicon.ico HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:04 +0200] "GET /test/test.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:05 +0200] "GET /test/test.jsp HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [29/May/2019:14:38:23 +0200] "GET /test/test.jsp HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/May/2019:14:55:32 +0200] "GET /test/toto HTTP/1.1" 500 1679
0:0:0:0:0:0:0:1 - - [29/May/2019:14:56:11 +0200] "GET /test/toto HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [29/May/2019:15:18:52 +0200] "GET /test/toto HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [29/May/2019:15:43:46 +0200] "GET /test/toto?auteur=Coyote HTTP/1.1" 500 1890
0:0:0:0:0:0:0:1 - - [29/May/2019:15:45:27 +0200] "GET /test/toto?auteur=Coyote HTTP/1.1" 500 1852
0:0:0:0:0:0:0:1 - - [29/May/2019:15:46:17 +0200] "GET /test/toto?auteur=Coyote HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [29/May/2019:15:49:00 +0200] "GET /test/toto?auteur=Coyote HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [29/May/2019:16:31:28 +0200] "GET /test/toto?auteur=Coyote HTTP/1.1" 500 3312
0:0:0:0:0:0:0:1 - - [29/May/2019:16:51:01 +0200] "GET /test/toto?auteur=Coyote HTTP/1.1" 200 301
