127.0.0.1 - - [05/Jun/2019:13:48:14 +0200] "GET / HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [05/Jun/2019:13:52:19 +0200] "GET /test/test_inc.jsp HTTP/1.1" 500 2809
0:0:0:0:0:0:0:1 - - [05/Jun/2019:13:52:20 +0200] "GET /favicon.ico HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Jun/2019:13:53:08 +0200] "GET /test/test_host.jsp HTTP/1.1" 500 3386
0:0:0:0:0:0:0:1 - - [05/Jun/2019:14:24:09 +0200] "GET /test/test_el.jsp HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [05/Jun/2019:14:38:48 +0200] "GET /test/test_el.jsp HTTP/1.1" 500 3841
0:0:0:0:0:0:0:1 - - [05/Jun/2019:14:39:56 +0200] "GET /test/test_el.jsp HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [05/Jun/2019:14:41:47 +0200] "GET /test/test_el.jsp HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [05/Jun/2019:14:42:12 +0200] "GET /test/test_el.jsp HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [05/Jun/2019:14:48:28 +0200] "GET /test/test_el.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [05/Jun/2019:15:03:18 +0200] "GET /test/test_el.jsp HTTP/1.1" 500 3101
0:0:0:0:0:0:0:1 - - [05/Jun/2019:15:03:39 +0200] "GET /test/test_el.jsp HTTP/1.1" 500 2682
0:0:0:0:0:0:0:1 - - [05/Jun/2019:15:04:15 +0200] "GET /test/test_el.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [05/Jun/2019:15:08:06 +0200] "GET /test/test_el.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [05/Jun/2019:15:10:57 +0200] "GET /test/test_el.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [05/Jun/2019:15:15:37 +0200] "GET /test/test_el.jsp HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [05/Jun/2019:16:13:45 +0200] "GET /test/test_map.jsp HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [05/Jun/2019:16:15:30 +0200] "GET /test/test_obj_impl.jsp?langue=fr&article=782 HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [05/Jun/2019:16:18:10 +0200] "GET /test/test_obj_impl.jsp?langue=fr&article=782 HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [05/Jun/2019:16:19:01 +0200] "GET /test/test_obj_impl.jsp?langue=fr&article=782 HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [05/Jun/2019:16:20:53 +0200] "GET /test/test_obj_impl.jsp?langue=fr&article=782&langue=zh HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [05/Jun/2019:16:22:07 +0200] "GET /test/test_obj_impl.jsp?langue=fr&article=782&langue=zh HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [05/Jun/2019:16:23:32 +0200] "GET /test/test_obj_impl.jsp?langue=fr&article=782&langue=zh HTTP/1.1" 200 254
