127.0.0.1 - - [31/Jul/2019:10:18:08 +0200] "GET / HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [31/Jul/2019:10:18:18 +0200] "GET /tp1/creationClient HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [31/Jul/2019:10:18:18 +0200] "GET /favicon.ico HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [31/Jul/2019:10:18:27 +0200] "GET /tp1/creationCommande;jsessionid=92799D1B56499699812E7BDDB392475C HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [31/Jul/2019:10:18:51 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [31/Jul/2019:10:18:54 +0200] "GET /tp1/listeClients HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [31/Jul/2019:10:18:57 +0200] "GET /tp1/creationClient HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [31/Jul/2019:10:18:59 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 3422
0:0:0:0:0:0:0:1 - - [31/Jul/2019:11:18:13 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 3784
0:0:0:0:0:0:0:1 - - [31/Jul/2019:11:18:17 +0200] "GET /tp1/listeClients HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [31/Jul/2019:11:18:18 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 3784
0:0:0:0:0:0:0:1 - - [31/Jul/2019:11:18:38 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [31/Jul/2019:11:18:41 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [31/Jul/2019:11:19:42 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [31/Jul/2019:11:32:09 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 4224
0:0:0:0:0:0:0:1 - - [31/Jul/2019:11:37:51 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 4296
0:0:0:0:0:0:0:1 - - [31/Jul/2019:14:54:53 +0200] "GET /tp1/listeClients HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [31/Jul/2019:14:54:56 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [31/Jul/2019:14:55:54 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:05:30 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:05:32 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:05:55 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:05:58 +0200] "GET /tp1/creationCommande HTTP/1.1" 500 4209
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:07:46 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 4803
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:07:49 +0200] "GET /tp1/listeClients HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:07:50 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 4803
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:15:25 +0200] "GET /tp1/listeClients HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:15:27 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:16:16 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:17:03 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:17:23 +0200] "POST /tp1/creationCommande HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:17:27 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 4959
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:19:37 +0200] "GET /tp1/creationClient HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:19:48 +0200] "POST /tp1/creationClient HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:19:50 +0200] "GET /tp1/listeClients HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [31/Jul/2019:15:19:55 +0200] "GET /tp1/creationCommande HTTP/1.1" 200 5110
