127.0.0.1 - - [14/Aug/2019:10:35:22 +0200] "GET / HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:35:30 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:35:30 +0200] "GET /pro/inc/form.css;jsessionid=3F666889FB8521EA8493F7E195C097C0 HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:35:30 +0200] "GET /favicon.ico HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:37:51 +0200] "GET /pro/testjdbc HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:37:51 +0200] "GET /pro/inc/form.css HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:38:21 +0200] "GET /pro/testjdbc HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:39:42 +0200] "GET /pro/testjdbc HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:39:51 +0200] "GET /pro/testjdbc HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:41:10 +0200] "GET /pro/testjdbc HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:41:15 +0200] "GET /pro/testjdbc HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:44:10 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:44:23 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:44:26 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:44:44 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:44:45 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:55:47 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:55:59 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:55:59 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:56:00 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:56:00 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Aug/2019:10:56:01 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Aug/2019:11:04:43 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Aug/2019:11:05:03 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [14/Aug/2019:11:10:09 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [14/Aug/2019:11:19:52 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [14/Aug/2019:11:23:22 +0200] "GET /pro/testjdbc HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [14/Aug/2019:11:24:26 +0200] "GET /pro/testjdbc?nom=Marcel&motdepasse=past%C3%A8que&email=marcel@mail.fr HTTP/1.1" 200 1914
0:0:0:0:0:0:0:1 - - [14/Aug/2019:11:25:07 +0200] "GET /pro/testjdbc?nom=&motdepasse=&email= HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [14/Aug/2019:11:26:04 +0200] "GET /pro/testjdbc?nom=Marcel%27&motdepasse=past%C3%A8que&email=marcel@mail.fr HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [14/Aug/2019:11:40:54 +0200] "GET /pro/testjdbc HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [14/Aug/2019:11:41:44 +0200] "GET /pro/testjdbc HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [14/Aug/2019:11:42:40 +0200] "GET /pro/testjdbc?nom=Raymond&motdepasse=knysna&email=raymond@anpe.fr HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [14/Aug/2019:11:43:39 +0200] "GET /pro/testjdbc?nom=&motdepasse=&email= HTTP/1.1" 200 2446
0:0:0:0:0:0:0:1 - - [14/Aug/2019:11:45:08 +0200] "GET /pro/testjdbc?nom=Charles%27&motdepasse=doucefrance&email=charles@lamer.fr HTTP/1.1" 200 2614
